Year,Sector,Good or Service,Export (in millions),Import (in millions),Employment,HypotheticalExportRed,HypotheticalImportRed,HypotheticalEmploymentRed,HypotheticalExportBlue,HypotheticalImportBlue,HypotheticalEmploymentBlue
1997,"Foods, Feeds, Beverages",good,51507,39694,13580480,51507,39694,13580480,51507,39694,13580480
1998,"Foods, Feeds, Beverages",good,46397,41243,13654860,46397,41243,13654860,46397,41243,13654860
1999,"Foods, Feeds, Beverages",good,45977,43602,13919710,45977,43602,13919710,45977,43602,13919710
2000,"Foods, Feeds, Beverages",good,47871,45979,14073830,47871,45979,14073830,47871,45979,14073830
2001,"Foods, Feeds, Beverages",good,49407,46641,14078240,49407,46641,14078240,49407,46641,14078240
2002,"Foods, Feeds, Beverages",good,49616,49687,11207760,48974,48357,14205853,49616,49687,11207760
2003,"Foods, Feeds, Beverages",good,55026,55831,13166830,48546,50136,14334624,55026,55831,13166830
2004,"Foods, Feeds, Beverages",good,56570,62143,13323110,48122,51981,14464561,56570,62143,13323110
2005,"Foods, Feeds, Beverages",good,58955,68094,13544950,47701,53894,14595677,58955,68094,13544950
2006,"Foods, Feeds, Beverages",good,65962,74938,13727370,47284,55878,14727981,65962,74938,13727370
2007,"Foods, Feeds, Beverages",good,84264,81683,14005450,46870,57934,14861484,84264,81683,14005450
2008,"Foods, Feeds, Beverages",good,108349,88997,14215350,46460,60066,14996198,108349,88997,14215350
2009,"Foods, Feeds, Beverages",good,93908,81604,13994110,46054,62277,15132132,120580,97698,14434926
2010,"Foods, Feeds, Beverages",good,107705,91730,13829350,45651,64568,15269299,134192,107251,14657894
2011,"Foods, Feeds, Beverages",good,126247,107476,14031320,45252,66944,15407709,149341,117737,14884306
2012,"Foods, Feeds, Beverages",good,133049,110271,14380540,44856,69408,15547374,166200,129249,15114215
2013,"Foods, Feeds, Beverages",good,136160,115126,14823840,44464,71962,15688305,184962,141886,15347675
2014,"Foods, Feeds, Beverages",good,143751,125757,15296200,44075,74610,15830513,205842,155759,15584742
